Number,Crust_CFL_2017,Crust_LABR_2016,Crust_LAWN_2017,Crust_QFL_2017,Crust_TX_2016,Crust_Per_CFL_2017,Crust_Per_LABR_2016,Crust_Per_LAWN_2017,Crust_Per_QFL_2017,Crust_Per_TX_2016
SOAP-69,6.87E-15,0.5,0.5,2,3,1.73E-14,2.5,2.5,12.5,20
SOAP-7,1.5,6,6,2,4.5,7.5,50,50,12.5,35
SOAP-70,8.21E-15,-4.41E-15,8.88E-16,5.5,5.5,-1.82E-14,2.20E-14,1.31E-13,45,45
SOAP-71,1.22E-14,0.5,1,1,2.5,8.40E-15,2.5,5,5,15
SOAP-72,4.65E-15,-1.75E-15,1.15E-14,1.5,0.5,-1.82E-14,-6.44E-15,1.59E-13,7.5,2.5
SOAP-73,5.98E-15,-1.33E-14,0.5,0.5,1.5,-3.96E-14,-1.34E-13,2.5,2.5,7.5
SOAP-74,1,0.5,2,1.5,5,5,2.5,12.5,7.5,40
SOAP-75,1.09E-14,1.5,1.33E-14,0.5,1.5,2.08E-14,7.5,2.16E-13,2.5,10
SOAP-76,3,2,4.5,4,4.5,20,12.5,35,30,35
SOAP-77,3,3.5,5.5,3,6,20,25,45,20,50
SOAP-78,5.98E-15,-8.85E-15,1.15E-14,1,2.44E-15,-3.60E-14,-8.46E-14,2.02E-13,5,6.22E-15
SOAP-79,2,0.5,8.5,2.5,5.5,12.5,2.5,80,15,45
SOAP-8,5,8.5,8,8.5,8,40,85,75,80,75
SOAP-80,3,2.5,5,2.5,6,20,15,40,15,50
SOAP-81,2,1,3,3,5.5,10,5,20,20,45
SOAP-82,2,2,6,3.5,5.5,12.5,10,50,25,50
SOAP-83,3,4,4.5,5,6,20,30,35,40,50
SOAP-84,2,1.5,2.5,2.5,6.5,10,7.5,17.5,17.5,55
SOAP-85,6.87E-15,0.5,0.5,1,1,2.62E-14,2.5,2.5,5,5
SOAP-86,8.65E-15,0.136986301,0.5,1.5,2,6.62E-15,1.347031963,2.5,7.5,12.5
SOAP-87,5.54E-15,0.5,3,0.5,1.5,-1.11E-14,2.5,20,2.5,7.5
SOAP-88,9.54E-15,0.5,1.51E-14,2.5,1,-4.86E-16,2.5,2.16E-13,17.5,5
SOAP-89,9.09E-15,1,0.5,0.5,1,3.07E-15,5,2.5,2.5,5
SOAP-9,1,3.5,2,0.5,5.5,5,25,12.5,2.5,45
SOAP-90,1,1,4,0.5,7.5,5,5,30,2.5,70
SOAP-91,1.5,1.5,4,5,7.5,7.5,7.5,30,40,70
SOAP-92,2.5,4.5,9,7.5,6.5,14,42.5,90,70,55
SOAP-93,2.5,2,5,2.5,6.5,15,10,40,15,55
SOAP-94,7.5,-7.97E-15,9,7,0.5,70,-4.20E-14,90,65,2.5
SOAP-95,8.21E-15,1,0.5,1,1,1.91E-14,5,2.5,5,5
SOAP-96,3.25,1.5,5.5,3,6.5,25,7.5,45,22.5,55
SOAP-97,1,1,0.5,0.5,1.5,5,5,2.5,2.5,7.5
SOAP-98,9.09E-15,-7.08E-15,6.22E-15,1,3,1.91E-14,-6.33E-14,1.45E-13,5,20
SOAP-99,9.09E-15,2,0.5,-5.27E-15,1,2.26E-14,15,2.5,1.39E-13,5
